iter	Passed	Remaining
0	141	141049
1	143	71832
2	146	48686
3	149	37137
4	152	30335
5	155	25683
6	157	22376
7	160	19859
8	162	17913
9	165	16362
10	168	15133
11	170	14068
12	173	13163
13	175	12391
14	178	11717
15	181	11151
16	184	10647
17	186	10187
18	189	9775
19	191	9398
20	194	9061
21	197	8778
22	200	8514
23	203	8257
24	205	8012
25	208	7801
26	210	7590
27	213	7414
28	216	7236
29	218	7069
30	221	6914
31	223	6762
32	226	6642
33	229	6515
34	231	6390
35	234	6279
36	236	6163
37	239	6061
38	243	5992
39	245	5896
40	248	5805
41	250	5716
42	253	5637
43	256	5565
44	258	5489
45	261	5418
46	263	5346
47	266	5282
48	268	5216
49	271	5163
50	274	5108
51	276	5048
52	279	4994
53	281	4936
54	284	4889
55	287	4854
56	290	4808
57	293	4765
58	295	4719
59	298	4675
60	301	4639
61	304	4602
62	306	4561
63	309	4521
64	311	4486
65	314	4456
66	317	4421
67	320	4386
68	322	4354
69	325	4321
70	327	4289
71	331	4266
72	333	4234
73	336	4206
74	338	4177
75	341	4149
76	343	4120
77	346	4100
78	350	4081
79	352	4056
80	355	4034
81	359	4028
82	362	4010
83	365	3985
84	368	3961
85	370	3937
86	373	3915
87	376	3899
88	379	3881
89	381	3858
90	384	3841
91	387	3821
92	391	3814
93	394	3803
94	397	3788
95	400	3772
96	403	3754
97	406	3741
98	409	3724
99	411	3705
100	414	3686
101	416	3668
102	419	3651
103	422	3640
104	425	3623
105	427	3606
106	429	3588
107	432	3571
108	435	3560
109	438	3549
110	441	3533
111	443	3517
112	446	3502
113	448	3485
114	452	3479
115	454	3465
116	457	3451
117	459	3436
118	462	3423
119	465	3411
120	467	3398
121	470	3384
122	472	3370
123	475	3359
124	478	3346
125	481	3337
126	484	3333
127	487	3322
128	490	3310
129	492	3297
130	495	3286
131	498	3278
132	500	3265
133	503	3254
134	506	3242
135	508	3231
136	511	3224
137	514	3212
138	516	3201
139	519	3190
140	522	3181
141	524	3170
142	527	3164
143	531	3157
144	533	3145
145	536	3138
146	538	3126
147	542	3121
148	544	3111
149	547	3102
150	550	3093
151	552	3083
152	555	3076
153	558	3068
154	561	3061
155	563	3051
156	566	3042
157	569	3033
158	572	3027
159	574	3018
160	577	3008
161	579	2999
162	582	2990
163	585	2983
164	588	2976
165	590	2966
166	593	2958
167	595	2950
168	598	2942
169	601	2936
170	604	2928
171	606	2921
172	609	2912
173	611	2904
174	614	2895
175	617	2891
176	620	2884
177	622	2876
178	625	2870
179	628	2862
180	633	2865
181	636	2861
182	639	2856
183	642	2850
184	647	2850
185	650	2846
186	653	2842
187	657	2840
188	661	2839
189	665	2837
190	668	2832
191	671	2827
192	675	2825
193	679	2821
194	682	2815
195	685	2812
196	688	2804
197	691	2801
198	694	2795
199	697	2788
200	700	2783
201	702	2775
202	706	2774
203	709	2767
204	712	2761
205	715	2755
206	717	2748
207	721	2746
208	724	2741
209	727	2735
210	730	2730
211	732	2724
212	736	2722
213	739	2717
214	742	2712
215	745	2707
216	749	2702
217	752	2698
218	754	2692
219	757	2686
220	760	2680
221	763	2675
222	766	2671
223	769	2666
224	772	2662
225	775	2656
226	778	2651
227	782	2648
228	784	2642
229	787	2636
230	790	2631
231	793	2627
232	797	2625
233	800	2619
234	802	2613
235	805	2607
236	808	2603
237	812	2600
238	814	2594
239	817	2589
240	820	2583
241	823	2578
242	826	2574
243	829	2569
244	832	2564
245	834	2558
246	838	2554
247	841	2550
248	843	2545
249	846	2539
250	849	2536
251	853	2532
252	856	2527
253	859	2523
254	861	2517
255	864	2512
256	867	2509
257	871	2506
258	874	2500
259	876	2495
260	879	2490
261	883	2488
262	886	2485
263	889	2480
264	892	2475
265	895	2470
266	898	2467
267	902	2463
268	905	2459
269	907	2454
270	910	2449
271	914	2448
272	918	2444
273	921	2440
274	923	2435
275	926	2431
276	930	2429
277	933	2425
278	936	2420
279	939	2415
280	942	2410
281	945	2407
282	948	2402
283	951	2400
284	954	2395
285	958	2392
286	961	2389
287	964	2384
288	967	2380
289	970	2375
290	973	2370
291	991	2405
292	995	2402
293	998	2397
294	1001	2392
295	1004	2388
296	1007	2384
297	1010	2380
298	1013	2376
299	1016	2372
300	1020	2369
301	1023	2365
302	1026	2361
303	1029	2356
304	1031	2351
305	1035	2347
306	1039	2346
307	1042	2343
308	1045	2338
309	1049	2335
310	1053	2334
311	1057	2332
312	1061	2328
313	1064	2324
314	1067	2322
315	1071	2318
316	1074	2314
317	1077	2309
318	1080	2305
319	1083	2302
320	1086	2298
321	1089	2294
322	1092	2290
323	1096	2287
324	1099	2283
325	1102	2279
326	1105	2275
327	1108	2271
328	1112	2269
329	1116	2265
330	1119	2262
331	1122	2258
332	1125	2255
333	1129	2251
334	1132	2247
335	1135	2243
336	1138	2239
337	1141	2236
338	1144	2232
339	1148	2229
340	1151	2225
341	1154	2221
342	1159	2220
343	1162	2216
344	1165	2212
345	1168	2208
346	1172	2206
347	1176	2204
348	1180	2201
349	1183	2198
350	1188	2198
351	1192	2195
352	1196	2192
353	1199	2189
354	1204	2188
355	1207	2184
356	1211	2181
357	1215	2179
358	1221	2180
359	1224	2177
360	1228	2173
361	1231	2170
362	1235	2168
363	1238	2164
364	1241	2160
365	1245	2156
366	1249	2155
367	1253	2153
368	1257	2149
369	1260	2145
370	1264	2143
371	1267	2139
372	1270	2135
373	1273	2131
374	1277	2128
375	1280	2125
376	1284	2122
377	1287	2118
378	1290	2114
379	1294	2111
380	1297	2107
381	1300	2103
382	1303	2099
383	1307	2096
384	1310	2093
385	1313	2089
386	1316	2085
387	1319	2081
388	1323	2079
389	1327	2075
390	1330	2071
391	1333	2068
392	1336	2064
393	1339	2061
394	1343	2057
395	1346	2053
396	1349	2049
397	1353	2046
398	1356	2042
399	1359	2039
400	1362	2035
401	1365	2031
402	1369	2028
403	1372	2024
404	1375	2020
405	1378	2016
406	1382	2013
407	1385	2010
408	1388	2005
409	1391	2002
410	1394	1998
411	1397	1994
412	1401	1991
413	1403	1987
414	1406	1982
415	1409	1978
416	1412	1974
417	1415	1970
418	1418	1967
419	1421	1963
420	1424	1959
421	1428	1956
422	1431	1952
423	1434	1949
424	1438	1945
425	1441	1941
426	1445	1939
427	1449	1937
428	1452	1933
429	1455	1929
430	1459	1927
431	1462	1923
432	1466	1919
433	1469	1916
434	1472	1912
435	1476	1909
436	1479	1905
437	1482	1902
438	1486	1898
439	1489	1896
440	1493	1892
441	1496	1888
442	1499	1885
443	1502	1881
444	1506	1878
445	1509	1875
446	1512	1871
447	1515	1867
448	1519	1865
449	1522	1861
450	1525	1857
451	1529	1853
452	1532	1850
453	1536	1847
454	1539	1843
455	1542	1839
456	1545	1836
457	1548	1833
458	1552	1829
459	1555	1825
460	1558	1821
461	1560	1817
462	1564	1814
463	1567	1810
464	1570	1806
465	1573	1802
466	1576	1798
467	1579	1795
468	1582	1791
469	1584	1787
470	1587	1783
471	1590	1779
472	1594	1776
473	1597	1772
474	1600	1769
475	1603	1765
476	1606	1761
477	1610	1758
478	1613	1754
479	1615	1750
480	1618	1746
481	1622	1743
482	1625	1739
483	1628	1735
484	1630	1731
485	1633	1727
486	1636	1723
487	1640	1720
488	1642	1716
489	1645	1712
490	1648	1708
491	1651	1704
492	1654	1701
493	1657	1698
494	1660	1694
495	1663	1690
496	1666	1686
497	1669	1683
498	1672	1679
499	1675	1675
500	1678	1671
501	1681	1667
502	1685	1665
503	1688	1661
504	1691	1657
505	1693	1653
506	1697	1650
507	1700	1646
508	1702	1642
509	1705	1638
510	1708	1634
511	1711	1631
512	1715	1628
513	1718	1624
514	1721	1621
515	1724	1618
516	1729	1615
517	1732	1612
518	1736	1609
519	1739	1605
520	1743	1602
521	1746	1599
522	1750	1596
523	1753	1592
524	1758	1590
525	1761	1587
526	1764	1583
527	1767	1580
528	1770	1576
529	1774	1573
530	1776	1569
531	1779	1565
532	1782	1561
533	1785	1557
534	1789	1555
535	1791	1551
536	1794	1547
537	1797	1543
538	1800	1539
539	1803	1536
540	1806	1533
541	1809	1529
542	1812	1525
543	1815	1521
544	1818	1518
545	1821	1514
546	1824	1510
547	1827	1507
548	1829	1503
549	1834	1500
550	1837	1497
551	1840	1493
552	1843	1489
553	1845	1485
554	1849	1482
555	1852	1479
556	1855	1475
557	1858	1471
558	1860	1468
559	1865	1465
560	1868	1462
561	1871	1458
562	1874	1455
563	1878	1451
564	1881	1448
565	1883	1444
566	1886	1440
567	1889	1437
568	1892	1433
569	1895	1430
570	1898	1426
571	1901	1422
572	1904	1419
573	1907	1415
574	1910	1412
575	1913	1408
576	1916	1404
577	1919	1401
578	1922	1397
579	1925	1394
580	1928	1390
581	1931	1386
582	1934	1383
583	1937	1380
584	1940	1376
585	1943	1373
586	1946	1369
587	1949	1365
588	1952	1362
589	1956	1359
590	1959	1355
591	1961	1351
592	1964	1348
593	1967	1344
594	1970	1341
595	1973	1337
596	1976	1334
597	1979	1330
598	1982	1327
599	1985	1323
600	1988	1320
601	1991	1316
602	1994	1312
603	1998	1309
604	2001	1306
605	2004	1303
606	2008	1300
607	2011	1296
608	2015	1293
609	2018	1290
610	2021	1287
611	2024	1283
612	2029	1281
613	2033	1278
614	2037	1275
615	2041	1272
616	2046	1270
617	2049	1266
618	2052	1263
619	2055	1259
620	2058	1256
621	2061	1252
622	2064	1249
623	2067	1246
624	2071	1242
625	2075	1239
626	2077	1236
627	2080	1232
628	2083	1228
629	2086	1225
630	2089	1222
631	2092	1218
632	2095	1215
633	2098	1211
634	2101	1207
635	2104	1204
636	2107	1201
637	2110	1197
638	2113	1193
639	2115	1190
640	2119	1186
641	2122	1183
642	2124	1179
643	2127	1176
644	2130	1172
645	2133	1169
646	2136	1165
647	2139	1161
648	2142	1158
649	2144	1154
650	2148	1151
651	2151	1148
652	2153	1144
653	2156	1140
654	2159	1137
655	2162	1133
656	2165	1130
657	2169	1127
658	2171	1123
659	2174	1120
660	2177	1116
661	2180	1113
662	2183	1109
663	2186	1106
664	2188	1102
665	2192	1099
666	2195	1096
667	2198	1092
668	2200	1088
669	2203	1085
670	2206	1082
671	2210	1078
672	2213	1075
673	2217	1072
674	2219	1068
675	2223	1065
676	2226	1062
677	2229	1058
678	2232	1055
679	2234	1051
680	2238	1048
681	2240	1044
682	2243	1041
683	2246	1038
684	2249	1034
685	2253	1031
686	2256	1028
687	2259	1024
688	2263	1021
689	2267	1018
690	2270	1015
691	2274	1012
692	2277	1008
693	2280	1005
694	2284	1002
695	2287	999
696	2291	995
697	2294	992
698	2298	989
699	2301	986
700	2304	983
701	2307	979
702	2310	976
703	2314	973
704	2317	969
705	2320	966
706	2323	962
707	2325	959
708	2329	956
709	2332	952
710	2334	949
711	2337	945
712	2340	942
713	2343	938
714	2346	935
715	2349	931
716	2352	928
717	2355	924
718	2358	921
719	2361	918
720	2364	914
721	2367	911
722	2370	908
723	2375	905
724	2378	902
725	2381	898
726	2384	895
727	2387	892
728	2391	888
729	2394	885
730	2396	881
731	2400	878
732	2403	875
733	2406	872
734	2409	868
735	2412	865
736	2414	861
737	2418	858
738	2421	855
739	2424	851
740	2427	848
741	2430	844
742	2433	841
743	2436	838
744	2439	835
745	2442	831
746	2445	828
747	2449	825
748	2452	821
749	2454	818
750	2457	814
751	2460	811
752	2464	808
753	2466	804
754	2469	801
755	2472	797
756	2475	794
757	2479	791
758	2481	787
759	2484	784
760	2487	781
761	2490	777
762	2493	774
763	2496	771
764	2499	767
765	2502	764
766	2505	761
767	2509	757
768	2511	754
769	2514	751
770	2518	747
771	2520	744
772	2524	741
773	2526	737
774	2529	734
775	2532	730
776	2535	727
777	2538	724
778	2542	721
779	2544	717
780	2547	714
781	2550	710
